"","index","minute","nsunfishm","nobserver","nsunfish","wdirlocal","seastate","shark","leatherback","wdirlocal2","month","ferry","sst","sstanom","year","iso13","non_zero","totzooL4","totmedusL4","siphL4","cfinL4","chelL4","lcopL4","siphcpr","cnidarcpr","phytocpr"
"122","1971-08-23",30,0,11,0,NA,3.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"123","1971-08-24",90,0.0111111111111111,10,1,NA,3.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,1,NA,NA,NA,NA,NA,NA,0,0,1
"124","1971-08-25",165,0,8,0,NA,3,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"125","1971-08-26",60,0,9,0,NA,3.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"126","1971-08-27",120,0,9,0,NA,5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"127","1971-08-28",50,0,8,0,NA,5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"128","1971-08-29",60,0,8,0,NA,4.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"129","1971-08-30",60,0,8,0,NA,5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"130","1971-08-31",60,0,9,0,NA,5.5,NA,0,"",8,0,16.2150001526,-0.0938260264414623,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"131","1971-09-01",60,0.0166666666666667,5,1,NA,4.5,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,1,NA,NA,NA,NA,NA,NA,0,0,1
"132","1971-09-02",90,0,4,0,NA,4,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"133","1971-09-03",30,0,4,0,NA,2.5,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"134","1971-09-04",60,0,2,0,NA,2,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"135","1971-09-05",60,0,2,0,NA,3,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"136","1971-09-06",60,0,2,0,NA,3,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"137","1971-09-07",30,0,2,0,NA,2,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"138","1971-09-08",60,0,2,0,NA,2,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"139","1971-09-09",120,0,4,0,NA,3,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"140","1971-09-12",30,0,4,0,NA,2,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"141","1971-09-13",30,0,4,0,NA,2.5,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"142","1971-09-14",120,0,4,0,NA,1,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"143","1971-09-15",30,0,4,0,NA,1.5,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"144","1971-09-17",90,0.0111111111111111,4,1,NA,4,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,1,NA,NA,NA,NA,NA,NA,0,0,1
"145","1971-09-23",30,0,4,0,NA,4,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"146","1971-09-24",30,0,4,0,NA,2.5,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"147","1971-09-25",30,0,4,0,NA,4,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"148","1971-09-30",30,0,7,0,NA,2.5,NA,0,"",9,0,16.1012496948,0.405651455253377,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"149","1971-10-01",60,0,7,0,NA,3,NA,0,"",10,0,15.157500267,0.965176681768099,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"150","1971-10-04",30,0,5,0,NA,2.5,NA,0,"",10,0,15.157500267,0.965176681768099,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"151","1971-10-05",60,0,6,0,NA,2.5,NA,0,"",10,0,15.157500267,0.965176681768099,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"152","1971-10-10",30,0,6,0,NA,3,NA,0,"",10,0,15.157500267,0.965176681768099,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
"153","1971-10-15",110,0,8,0,NA,NA,NA,0,"",10,0,15.157500267,0.965176681768099,1971,50.1526058702,0,NA,NA,NA,NA,NA,NA,0,0,1
